"cohesion" "coupling"
"1" 263.0 8.0
"2" 250.0 21.0
"3" 262.0 9.0
"4" 263.0 8.0
"5" 262.0 9.0
"6" 251.0 20.0
"7" 262.0 9.0
"8" 264.0 7.0
"9" 263.0 8.0
"10" 262.0 9.0
"11" 258.0 13.0
"12" 263.0 8.0
"13" 250.0 21.0
"14" 259.0 12.0
"15" 264.0 7.0
"16" 251.0 20.0
"17" 263.0 8.0
"18" 261.0 10.0
"19" 262.0 9.0
"20" 262.0 9.0
"21" 262.0 9.0
"22" 250.0 21.0
"23" 264.0 7.0
"24" 259.0 12.0
"25" 256.0 15.0
"26" 263.0 8.0
"27" 263.0 8.0
"28" 262.0 9.0
"29" 263.0 8.0
"30" 258.0 13.0
"31" 265.0 6.0
"32" 263.0 8.0
"33" 256.0 15.0
"34" 254.0 17.0
"35" 256.0 15.0
"36" 258.0 13.0
"37" 258.0 13.0
"38" 266.0 5.0
"39" 263.0 8.0
"40" 263.0 8.0
"41" 256.0 15.0
"42" 257.0 14.0
"43" 258.0 13.0
"44" 246.0 25.0
"45" 252.0 19.0
"46" 250.0 21.0
"47" 263.0 8.0
"48" 262.0 9.0
"49" 263.0 8.0
"50" 263.0 8.0
"51" 268.0 3.0
"52" 262.0 9.0
"53" 252.0 19.0
"54" 262.0 9.0
"55" 260.0 11.0
"56" 250.0 21.0
"57" 254.0 17.0
"58" 258.0 13.0
"59" 262.0 9.0
"60" 262.0 9.0
