"numberOfClusters" "modularizationQuality"
"1" 6.0 2.792307692307692
"2" 7.0 3.7607390300230943
"3" 7.0 2.790366088631985
"4" 5.0 2.7904030710172743
"5" 7.0 2.790366088631985
"6" 6.0 3.7631336405529954
"7" 5.0 1.9942418426103647
"8" 4.0 2.790439770554493
"9" 5.0 2.790366088631985
"10" 7.0 2.790366088631985
"11" 7.0 2.790215264187867
"12" 5.0 2.7904030710172743
"13" 7.0 3.7607390300230943
"14" 7.0 2.790253411306043
"15" 5.0 2.7923371647509576
"16" 6.0 3.7607390300230943
"17" 5.0 2.792307692307692
"18" 6.0 1.9904030710172744
"19" 7.0 2.790366088631985
"20" 6.0 2.790366088631985
"21" 7.0 2.790366088631985
"22" 7.0 3.7607390300230943
"23" 4.0 2.790439770554493
"24" 5.0 1.9941747572815534
"25" 4.0 2.9684684684684686
"26" 5.0 2.792307692307692
"27" 5.0 2.790366088631985
"28" 7.0 2.790366088631985
"29" 6.0 2.792307692307692
"30" 7.0 2.792156862745098
"31" 6.0 1.9943074003795065
"32" 5.0 1.9134430117089076
"33" 9.0 1.9902152641878668
"34" 8.0 2.7900199600798405
"35" 9.0 1.9902152641878668
"36" 8.0 2.790215264187867
"37" 8.0 2.790215264187867
"38" 5.0 1.996212121212121
"39" 5.0 2.7904030710172743
"40" 6.0 2.790366088631985
"41" 9.0 1.9902152641878668
"42" 7.0 2.790138067061144
"43" 8.0 2.790215264187867
"44" 9.0 3.76
"45" 9.0 2.7899799599198394
"46" 8.0 3.7607390300230943
"47" 6.0 2.792307692307692
"48" 7.0 2.790366088631985
"49" 6.0 2.792307692307692
"50" 6.0 2.7904030710172743
"51" 2.0 1.8851153039832285
"52" 7.0 2.790366088631985
"53" 6.0 3.7631336405529954
"54" 7.0 2.790366088631985
"55" 7.0 2.790366088631985
"56" 8.0 3.7607390300230943
"57" 6.0 2.9683257918552037
"58" 8.0 2.790215264187867
"59" 7.0 2.790366088631985
"60" 7.0 1.9942418426103647
